"id","organization","source_name","location","official_url","official_social_url","audience","collection_method","cadence","robots_api_status","priority","policy","implementation_status","existing_catalog_overlap","notes"
"ggcf_gyeonggi_jang","경기문화재단","컬처라운지 경기,장 프로그램","경기 수원 영통구","https://www.ggcf.kr/events","https://www.instagram.com/ggcfkr/","만 5세 이상·어린이·가족","GGCF public JSON /api/events,/api/edus plus official detail","daily","robots allows content/API; public JSON 200","P0","allowlist metadata; never automate booking/login","implemented_dedicated_and_shared_api","missing_before_this_audit","User-reported omission. 2026-06 family popup found at /events/318; venue text includes 경기,장."
"ggcf_sscampus","경기문화재단","경기상상캠퍼스 교육·행사","경기 수원 권선구","https://sscampus.ggcf.kr/edus","https://www.instagram.com/sscampus.kr/","유아·초등·가족·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200; detail pages public","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Silkscreen, nature, exhibition-linked workshops recur."
"ggcf_gcm","경기문화재단","경기도어린이박물관 교육","경기 용인 기흥구","https://gcm.ggcf.kr/edus","https://www.instagram.com/g_childrens_museum","유아·초등·가족·단체","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200; detail pages public","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Current API contains elementary summer programs."
"ggcf_gyeonggi_museum","경기문화재단","경기도박물관 교육·행사","경기 용인 기흥구","https://musenet.ggcf.kr/edus","https://www.instagram.com/gyeonggiprovincemuseum","어린이·가족·청소년·시민","GGCF public JSON plus public news board","daily","public JSON 200","P0","allowlist metadata; members.ggcf.kr booking excluded","implemented_shared_api","missing_before_this_audit","Museum-school and family craft notices appear on official board."
"ggcf_njp","경기문화재단","백남준아트센터 교육·행사","경기 용인 기흥구","https://njp.ggcf.kr/edus","https://www.instagram.com/njpartcenter/","어린이·가족·학교·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Exhibition-linked media art programs."
"ggcf_gmoma","경기문화재단","경기도미술관 교육·행사","경기 안산 단원구","https://gmoma.ggcf.kr/edus","https://www.instagram.com/gyeonggimoma/","어린이·가족·학교·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Family and exhibition education are separate from general event portals."
"ggcf_silhak","경기문화재단","실학박물관 교육·행사","경기 남양주 조안면","https://silhak.ggcf.kr/edus","https://www.instagram.com/silhakmuseum/","초등·가족·학교·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Weekend family education confirmed in official feed."
"ggcf_jgpm","경기문화재단","전곡선사박물관 교육·행사","경기 연천 전곡읍","https://jgpm.ggcf.kr/edus","https://www.instagram.com/jgpmuseum/","유아·초등·가족·학교","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Prehistory family workshops and seasonal events."
"ggcf_ngcm","경기문화재단","경기북부어린이박물관 교육·행사","경기 동두천","https://ngcm.ggcf.kr/edus","https://www.instagram.com/ngcmuseum","유아·초등·가족·단체","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Northern Gyeonggi family/child source."
"ggcf_namhansanseong","경기문화재단 경기역사문화유산원","남한산성역사문화관 교육·행사","경기 광주 남한산성면","https://gjicp.ggcf.kr/edus","https://www.instagram.com/ggcfkr/","초등·가족·학교·시민","GGCF public JSON plus official institute detail","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Use place/title to distinguish from Gyeonggi Old Roads."
"ggcf_gcc","경기문화재단","경기창작캠퍼스 교육·행사","경기 안산 대부도","https://gcc.ggcf.kr/edus","https://www.instagram.com/ggcfkr/","어린이·가족·청소년·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P1","allowlist metadata","implemented_shared_api","missing_before_this_audit","Newer campus; monitor sparse seasonal programs."
