catalog_id,group,ordinal,source_name,official_url,additional_official_urls,access_structure,audience_fields,policy_notes,recommendation,priority,implementation_status,connector_id,implementation_note,verification_status,verified_at,source_document
regional_portals:001,regional_portals,1,서울 공공서비스예약 통합정보,https://data.seoul.go.kr/dataList/OA-20497/S/1/datasetView.do,,"문서 200, API 공개키 필요, robots 허용","tvYeyakCOllect; SVCID, SVCNM, SVCSTATNM, PAYATNM, PLACENM, USETGTINFO, SVCURL, X/Y, 운영·접수 시작/종료","공식 JSON API, 1–1000 구간 페이지네이션. P1","공식 JSON API, 1–1000 구간 페이지네이션. P1",P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:002,regional_portals,2,서울 공공서비스예약 교육강좌 정보,https://data.seoul.go.kr/dataList/OA-2268/A/1/datasetView.do,,"문서 200, API 공개키 필요",ListPublicReservationEducation; 소분류·서비스명·대상·지역 선택 필터,공식 JSON API. #1 중복은 SVCID로 제거하고 교육 세부 분류 보강. P1,공식 JSON API. #1 중복은 SVCID로 제거하고 교육 세부 분류 보강. P1,P1,implemented_api,seoul_reservation_education,Exact official API product.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:003,regional_portals,3,서울 문화행사 정보,https://data.seoul.go.kr/dataList/OA-15486/S/1/datasetView.do?tab=A,,"문서 200, API 공개키 필요","culturalEventInfo; CODENAME, TITLE, 날짜, 장소, 대상, 요금, 좌표, 원문 URL","공식 JSON API, 어린이·가족·교육 분류 필터. P1","공식 JSON API, 어린이·가족·교육 분류 필터. P1",P1,implemented_api,seoul_cultural_events,Exact official API product.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:004,regional_portals,4,서울의 공원 프로그램,https://parks.seoul.go.kr/friend/gathering/list.do,,200; robots에서 목록 경로 비차단,"SSR 목록·상세; 프로그램명, 공원, 모집/운영기간, 대상, 상태","목록 1회/일, 변경 상세만. P1","목록 1회/일, 변경 상세만. P1",P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:005,regional_portals,5,서울시교육청과학전시관 가족천문교실,https://ssei.sen.go.kr/fus/MI000000000000000084/program/CD00000218/list0010v.do,,200; robots의 일부 구 게시판 차단과 무관한 공개 목록,"SSR; 회차, 신청기간, 대상, 정원, 상태, 상세키",가족·초등 대상만 수집. P2,가족·초등 대상만 수집. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:006,regional_portals,6,강남구 통합예약 교육·체험,https://life.gangnam.go.kr/fmcs/52?action=read&classcd=00009&comcd=GNCC28&type=R,,200; robots 허용,"FMCS SSR; classcd, comcd, 프로그램·운영시간·요일·대상·정원","FMCS 전용 파서, 상세키 조합. P2","FMCS 전용 파서, 상세키 조합. P2",P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:007,regional_portals,7,금천구 통합예약 교육강좌,https://www.geumcheon.go.kr/reserve/webEdcLctreList.do?key=112,,200; robots는 검색 경로만 차단,"webEdcLctreList/View; searchLctreKey, 접수/교육기간, 대상, 장소, 상태",MunicipalWebReserveAdapter. P2,MunicipalWebReserveAdapter. P2,P2,implemented_opt_in,geumcheon_education_reservation,Shared municipal adapter; public list/detail facts only. Gimpo remains robots-blocked; Anyang remains TLS-runtime-blocked.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:008,regional_portals,8,종로구 통합예약,https://www.jongno.go.kr/reserv/main.do,,200; robots User-agent: * / Disallow: /,교육·체험·시설 통합 UI,"자동 수집 금지, 링크 디렉터리나 기관 협의만. P3","자동 수집 금지, 링크 디렉터리나 기관 협의만. P3",P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:009,regional_portals,9,동작구 통합예약 이용 안내,https://www.dongjak.go.kr/yeyak/main/contents.do?menuNo=1600023,,"200; robots 선택 규칙, 전체 정책 재검토 필요","교육·체험·시설·행사 카테고리, 공개 SSR",정책 확인 후 하루 1회. P2,정책 확인 후 하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:010,regional_portals,10,인천광역시 온라인통합예약 교육강좌,https://www.incheon.go.kr/res/RE010101/lctreEdcList?sortType=CHILD&stateType=ING&appTp=LCTRE&curPage=1,,"200; robots 404, 목록 공개·예약은 로그인 가능","resveInsttCode, setleChrgeSeCode=FREE/CHARGE, stateType=ING/WAITING, appTp, sortType=CHILD/WEEKEND, 날짜·검색어·curPage; 상세 progrmSn",어린이/주말·접수중 서버 필터 활용. P1,어린이/주말·접수중 서버 필터 활용. P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:011,regional_portals,11,인천광역시교육청 체험예약,https://www.ice.go.kr/ice/exprn/selectExprnList.do?mi=11607,,"200; robots는 /common, /comm만 차단","srchRsSysId, exprnSeq, exprnPeriodSeq, srchRsvSttus, 접수/운영일, srchRceptTrget(유아·학생·학부모·가족 등), currPage","교육청 공통 어댑터. 목록·상세 공개, 신청만 로그인. P1","교육청 공통 어댑터. 목록·상세 공개, 신청만 로그인. P1",P1,implemented_opt_in,incheon_education_experience,"Shared education-office adapter; public list/detail GET only, no application.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:012,regional_portals,12,경기공유서비스,https://share.gg.go.kr/,,루트 200·robots 허용/사이트맵; 일부 목록에서 NetFunnel 관측,"facilityId, instiCode, 지역·시설·프로그램·예약 링크",대기열 우회 금지. 공유누리 공식 API나 기관 협의 전까지 자동화 보류. P3,대기열 우회 금지. 공유누리 공식 API나 기관 협의 전까지 자동화 보류. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:013,regional_portals,13,수원시 교육강좌 예약,https://www.suwon.go.kr/web/reserv/edu/list.do,,200; robots의 비관련 경로만 차단,"eduMstSeq; 강좌명, 접수/교육기간, 요일·시간, 대상, 모집/대기, 장소, 상태",공개 SSR 표/카드. P1,공개 SSR 표/카드. P1,P1,implemented_opt_in,suwon_education_experience,"Public current/soon result table only; no detail, login, or reservation calls.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:014,regional_portals,14,고양시 통합예약,https://www.goyang.go.kr/resve/manage/BD_selectResveManageList.do?q_resveTopClCode=CL_02,,200; robots 허용,"q_resveTopClCode=CL_01..05, q_resveSttusCode, resveSn; 상세 JS 링크",BDSelectReservationAdapter. P2,BDSelectReservationAdapter. P2,P2,implemented_opt_in,goyang_experience_reservation,Shared municipal adapter; public list/detail facts only. Gimpo remains robots-blocked; Anyang remains TLS-runtime-blocked.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:015,regional_portals,15,부천시 공공서비스예약 견학·체험,https://reserv.bucheon.go.kr/site/main/see/list,,200; robots 404,"program_seq; 무료/유료, 온라인, 상태, 신청·운영일, 장소. 자연생태공원·건강체험관·천문과학관·재난체험 등 기관 필터",적합도가 높고 상세키 안정적. P1,적합도가 높고 상세키 안정적. P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:016,regional_portals,16,안양시 교육강좌 예약,https://www.anyang.go.kr/reserve/selectEduLctreWebList.do?key=1376&searchDiv=1,,브라우저용 공개 HTML 구조 확인; 현재 표준 Python TLS 런타임은 안전한 연결 협상 실패,"selectEduLctreWebList, eduLctreWebView, eduLctreNo, key, searchDiv; 별도 온라인예약 목록","SelectWebListAdapter fixture 구현, available=False로 네트워크 차단. 서버 TLS 정상화 후 재검증. P2","SelectWebListAdapter fixture 구현, available=False로 네트워크 차단. 서버 TLS 정상화 후 재검증. P2",P2,implemented_policy_guarded,anyang_education_reservation,Shared municipal adapter; public list/detail facts only. Gimpo remains robots-blocked; Anyang remains TLS-runtime-blocked.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:017,regional_portals,17,화성시 통합예약,https://yeyak.hscity.go.kr/indexIntro.do,,200; robots 허용이나 netfunnel.js와 NetFunnel_Action 확인,대기열 후 목록·로그인 진입,대기열 우회 금지. 공개 피드 요청 전까지 P3,대기열 우회 금지. 공개 피드 요청 전까지 P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:018,regional_portals,18,용인시 통합예약 체험·참여,https://resve.yongin.go.kr/resve/manage/BD_selectResveManageList.do?q_lclas=CL_01&q_resveCl=CL_01_3,,200; robots 404,"q_lclas=CL_01 체험/참여, CL_02 교육, q_resveCl, resveSn; 안전·견학·숲·농촌·기후 체험",고양과 같은 BDSelectReservationAdapter. P2,고양과 같은 BDSelectReservationAdapter. P2,P2,implemented_opt_in,yongin_experience_reservation,Shared municipal adapter; public list/detail facts only. Gimpo remains robots-blocked; Anyang remains TLS-runtime-blocked.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:019,regional_portals,19,김포시 통합예약 체험,https://www.gimpo.go.kr/reserve/webEtcResveList.do?key=113&rep=1&etcProgramSection=EXPERIENCE,,공개 목록 구조 확인; 현재 일반 User-Agent robots Disallow: /,"webEtcResveList/View, etcProgramSection, searchEtcGroup, searchEtcResveNo; 제목·접수/운영일·대상·장소·가격·상태",금천과 같은 파서는 구현하되 available=False; robots 정책 변경/서면 허용 전 자동 요청 금지. P3,금천과 같은 파서는 구현하되 available=False; robots 정책 변경/서면 허용 전 자동 요청 금지. P3,P3,implemented_policy_guarded,gimpo_experience_reservation,Shared municipal adapter; public list/detail facts only. Gimpo remains robots-blocked; Anyang remains TLS-runtime-blocked.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:020,regional_portals,20,경기데이터드림 문화·관광 데이터,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=Y3WQP2JI34FGGG9LO9ID30977197&infSeq=1,,"공식 문서 공개, 키 필요; 현 데이터의 갱신/분할 규칙이 모호","https://openapi.gg.go.kr/{service}; KEY, Type, pIndex, pSize",실제 최신 행·라이선스 검증 후 승격. P3,실제 최신 행·라이선스 검증 후 승격. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:021,regional_portals,21,부산광역시 통합예약 교육강좌 / 견학·체험,https://reserve.busan.go.kr/lctre/list?curPage=1,https://reserve.busan.go.kr/exprn,목록 200; robots 요청은 401로 정책 확인 불가,"progrmSn, resveGroupSn, curPage, 기간·분류·구군·상태·기관·예약방법·검색어; /lctre/view, /exprn/view",운영자 문의와 낮은 빈도 전제. P2,운영자 문의와 낮은 빈도 전제. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:022,regional_portals,22,부산광역시교육청 통합예약 체험,https://home.pen.go.kr/yeyak/exprn/selectExprnList.do?contestAt=N&mi=14438,,200; robots의 선택 제한에 목록 미포함,"교육청 공통 srchRsSysId, exprnSeq, exprnPeriodSeq, 상태·기간·대상",교육청 공통 어댑터. P1,교육청 공통 어댑터. P1,P1,implemented_opt_in,busan_education_experience,"Shared education-office adapter; public list/detail GET only, no application.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:023,regional_portals,23,부산소방재난본부 안전교육,https://119edu.busan.go.kr/main/4?action=list,,200; robots 응답이 정상 정책 텍스트가 아니어서 재확인 필요,"action=list/read; 교육명, 대상, 기간, 정원, 상태",아동 안전 체험만 필터. P2,아동 안전 체험만 필터. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
