source_id,name,owner,source_type,official_url,license_code,requires_key,enabled_by_default,policy_status,notes,key_gated,operational_mode
seoul_reservation_culture,서울시 문화체험 공공서비스예약,서울특별시,open_api,https://www.data.go.kr/data/15134352/openapi.do,KOGL-1,SEOUL_OPEN_DATA_KEY (sample key works with 5 rows),True,approved_api,Official API. The sample key is intentionally limited to five rows.,True,default
seoul_reservation_education,서울시 교육 공공서비스예약,서울특별시,open_api,https://www.data.go.kr/data/15134352/openapi.do,KOGL-1,SEOUL_OPEN_DATA_KEY (sample key works with 5 rows),True,approved_api,Official API. The sample key is intentionally limited to five rows.,True,default
seoul_cultural_events,서울문화포털 문화행사,서울특별시,open_api,https://data.seoul.go.kr/dataList/OA-15486/A/1/datasetView.do,KOGL-1,SEOUL_OPEN_DATA_KEY (sample key works with 5 rows),True,approved_api,Official API. The sample key is intentionally limited to five rows.,True,default
culture_portal_c,문화포털 교육·체험,한국문화정보원,open_api,https://www.data.go.kr/data/15138937/openapi.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,Official XML API; type C is education/experience.,True,key_and_explicit_opt_in
culture_portal_b,문화포털 행사·축제,한국문화정보원,open_api,https://www.data.go.kr/data/15138937/openapi.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,Official XML API; type C is education/experience.,True,key_and_explicit_opt_in
culture_portal_a,문화포털 공연·전시,한국문화정보원,open_api,https://www.data.go.kr/data/15138937/openapi.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,Official XML API; type C is education/experience.,True,key_and_explicit_opt_in
kopis_child_performances,KOPIS 아동 공연,예술경영지원센터,open_api,https://kopis.or.kr/por/cs/openapi/openApiInfo.do,KOPIS-ATTRIBUTION,KOPIS_API_KEY,False,approved_api,Official XML API with kidstate=Y. KOPIS attribution is required; the API permits date windows of at most 31 days.,True,key_and_explicit_opt_in
kywa_elementary_activities,한국청소년활동진흥원 초등 대상 활동,한국청소년활동진흥원,open_api,https://www.data.go.kr/data/15156313/openapi.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,Official JSON/XML API. Only rows marked schboyYn are retained. This is a program/facility catalogue and may not contain session dates.,True,key_and_explicit_opt_in
forest_education_programs,산림청 산림교육 운영 프로그램,산림청,open_api,https://www.data.go.kr/data/3057832/openapi.do,OPEN-DATA,DATA_GO_KR_SERVICE_KEY,False,approved_api,Official XML API with eduType=4. The operating-period field is often seasonal text rather than bookable session dates.,True,key_and_explicit_opt_in
standard_lifelong_learning_children,전국 평생학습강좌 어린이·가족 프로그램,행정안전부·지방자치단체,public_standard_api,https://www.data.go.kr/data/15013110/standard.do,PUBLIC-DATA-STANDARD,DATA_GO_KR_SERVICE_KEY,False,approved_api,"Nationwide merged standard data. Only rows explicitly mentioning elementary children, children, families, or kids are emitted.",True,key_and_explicit_opt_in
